hour,load_kw,pv_kw,price
11.333333333333334,5814.7932,7520.7191,0.4827
11.5,5832.3951,7568.2039,0.4785
11.666666666666666,5712.901,7592.1539,0.4662
11.833333333333334,5519.4607,7601.0433,0.4432
12.0,5494.7907,7612.316,0.4411
12.166666666666666,5514.4524,7602.6524,0.4551
12.333333333333334,5485.829,7554.1872,0.4463
12.5,5462.3628,7472.7384,0.4113
12.666666666666666,5566.1066,7393.4172,0.5682
12.833333333333334,5725.7548,7312.7979,0.8279
13.0,5739.4957,7194.541,0.8636
13.166666666666666,5714.6836,7053.1371,0.8416
13.333333333333334,5717.8505,6910.4064,0.8618
13.5,5708.2486,6772.4075,0.8623
13.666666666666666,5696.9182,6607.36,0.9026
13.833333333333334,5692.2983,6412.5085,0.9754
14.0,5687.1291,6214.0158,1.0002
14.166666666666666,5678.962,6000.7112,0.9978
14.333333333333334,5669.4508,5766.9816,1.0271
14.5,5664.1948,5521.5066,1.0906
14.666666666666666,5672.7011,5268.781,0.9376
14.833333333333334,5682.2544,5009.7152,0.6694
15.0,5669.0195,4743.4484,0.66
15.166666666666666,5656.3651,4471.224,0.7217
15.333333333333334,5657.0867,4188.2025,0.7308
15.5,5662.6008,3889.3931,0.7534
15.666666666666666,5669.2596,3594.5946,0.7823
15.833333333333334,5673.4767,3303.8878,0.8055
16.0,5671.0146,2998.4247,0.8271
16.166666666666668,5661.5926,2687.4131,0.8519
16.333333333333332,5665.8922,2383.1779,0.8791
16.5,5689.0372,2089.1246,0.9024
16.666666666666668,5603.6614,1791.0829,0.9163
16.833333333333332,5466.7124,1501.7283,0.9264
17.0,5467.3939,1255.1723,0.9462
17.166666666666668,5464.727,1036.3323,0.9742
17.333333333333332,5492.4458,836.7775,0.9862
17.5,5621.7308,665.2313,0.976
17.666666666666668,5091.2126,516.6758,1.0742
17.833333333333332,4208.5688,386.6731,1.2313
18.0,4122.7611,275.7933,1.2561
18.166666666666668,4255.9358,182.9526,1.2447
18.333333333333332,4225.9524,108.3414,1.2545
18.5,4233.3384,54.3121,1.2522
18.666666666666668,4246.4625,18.6569,1.2881
18.833333333333332,4239.1795,0.2753,1.3466
19.0,4244.6684,0.2296,1.3523
19.166666666666668,4251.9187,0.6007,1.3445
19.333333333333332,4256.6813,0.0,1.3483
19.5,4267.3947,0.0,1.349
19.666666666666668,4269.975,0.0,1.3473
19.833333333333332,4268.6702,0.0,1.3482
20.0,4282.2245,0.0,1.3513
20.166666666666668,4291.7049,0.0,1.34
20.333333333333332,4291.3611,0.0,1.3489
20.5,4293.9182,0.0,1.3952
20.666666666666668,4295.2135,0.0,1.2226
20.833333333333332,4302.0307,0.0,0.9332
21.0,4320.9618,0.0,0.9068
21.166666666666668,4302.3292,0.0,0.9371
21.333333333333332,4322.6758,0.0,0.9371
21.5,4428.8083,0.0,0.9871
21.666666666666668,4030.1614,0.0,0.7764
21.833333333333332,3362.7419,0.0,0.4209
22.0,3309.3934,0.0,0.3859
22.166666666666668,3412.9563,0.0,0.4368
22.333333333333332,3381.9313,0.0,0.4198
22.5,3386.5592,0.0,0.4186
22.666666666666668,3400.4846,0.0,0.4241
22.833333333333332,3399.2426,0.0,0.4237
23.0,3406.9809,0.0,0.4248
23.166666666666668,3416.1518,0.0,0.424
23.333333333333332,3421.9811,0.0,0.422
23.5,3429.6923,0.0,0.424
23.666666666666668,3439.061,0.0,0.4271
23.833333333333332,3444.7259,0.0,0.4276
