slot,grid,charge,discharge,soc_end
59,0.0,52.83776666666669,0.0,1897.8598907407397
60,0.0,84.56241666666665,0.0,1973.9660657407396
61,0.0,116.98358333333331,0.0,2079.2512907407395
62,0.0,146.6606,0.0,2211.2458307407396
63,0.0,173.52025000000003,0.0,2367.4140557407395
64,0.0,201.02908333333318,0.0,2548.3402307407396
65,0.0,225.40611666666655,0.0,2751.2057357407393
66,0.0,244.00925000000007,0.0,2970.8140607407395
67,575.1709166666666,833.3333333333333,0.0,3720.8140607407395
68,0.0,272.6315333333333,0.0,3966.1824407407394
69,0.0,284.32098333333334,0.0,4222.07132574074
70,179.2771713991827,468.5786380658495,0.0,4643.792100000004
71,520.1245166666665,833.3333333333333,0.0,5393.792100000004
72,486.4028999999998,833.3333333333333,0.0,6143.792100000004
73,480.4124499999999,833.3333333333333,0.0,6893.792100000004
74,485.29999999999995,833.3333333333333,0.0,7643.792100000004
75,488.6069666666665,833.3333333333333,0.0,8393.792100000004
76,498.2707333333332,833.3333333333333,0.0,9143.792100000004
77,0.0,304.5517666666666,0.0,9417.888690000003
78,0.0,264.5071833333333,0.0,9655.945155000003
79,0.0,242.50754999999995,0.0,9874.201950000002
80,0.0,223.07558333333327,0.0,10074.969975000002
81,0.0,198.7593166666667,0.0,10253.853360000001
82,0.0,177.35981666666672,0.0,10413.477195000001
83,0.0,151.74029999999993,0.0,10550.043465
84,0.0,120.03503333333325,0.0,10658.074995
85,0.0,87.81445,0.0,10737.108
86,0.0,53.62486666666655,0.0,10785.37038
87,0.0,16.255133333333408,0.0,10800.0
88,0.0,0.0,23.78136666666675,10773.57625925926
89,0.0,0.0,67.3200166666667,10698.77624074074
90,112.0898666666667,0.0,0.0,10698.77624074074
91,266.7326936213991,112.47084362139907,0.0,10800.0
92,197.52351666666664,0.0,0.0,10800.0
93,244.81403333333324,0.0,0.0,10800.0
94,295.5346166666667,0.0,0.0,10800.0
95,345.77750000000003,0.0,0.0,10800.0
96,394.93148333333335,0.0,0.0,10800.0
97,445.43165000000005,0.0,-0.0,10800.0
98,495.69658333333325,0.0,-0.0,10800.0
99,547.11905,0.0,-0.0,10800.0
100,599.9854333333333,0.0,-0.0,10800.0
101,635.4297499999999,0.0,-0.0,10800.0
102,660.8306833333334,0.0,-0.0,10800.0
103,702.0369333333333,0.0,-0.0,10800.0
104,738.0657833333332,0.0,-0.0,10800.0
105,775.9447166666666,0.0,-0.0,10800.0
106,826.0832499999999,0.0,0.0,10800.0
107,762.4227999999999,0.0,-0.0,10800.0
108,636.9826166666667,0.0,-0.0,10800.0
109,531.8940499999999,0.0,109.26725000000005,10678.591944444444
110,678.8305333333333,0.0,0.0,10678.591944444444
111,686.2684999999999,0.0,0.0,10678.591944444444
112,696.5043833333332,0.0,0.0,10678.591944444444
113,0.0,0.0,704.6342666666666,9895.664981481481
114,0.0,0.0,706.4840333333333,9110.682722222222
115,0.0,0.0,707.4064666666666,8324.675537037037
116,0.0,0.0,708.553,7537.394425925927
117,0.0,0.0,709.4468833333333,6749.120111111112
118,0.0,0.0,711.23245,5958.861833333334
119,0.0,0.0,711.6625,5168.125722222223
120,0.0,0.0,711.4450333333332,4377.631240740741
121,0.0,0.0,713.7040833333333,3584.626703703704
122,0.0,0.0,715.28415,2789.8665370370372
123,0.0,0.0,715.22685,1995.170037037037
124,0.0,0.0,715.6530333333333,1200.0
125,715.8689166666666,0.0,-0.0,1200.0
126,717.0051166666667,0.0,0.0,1200.0
127,720.1603,0.0,0.0,1200.0
128,717.0548666666666,0.0,0.0,1200.0
129,720.4459666666667,0.0,0.0,1200.0
130,738.1347166666666,0.0,-0.0,1200.0
131,671.6935666666666,0.0,-0.0,1200.0
132,1393.7903166666665,833.3333333333333,0.0,1950.0
133,1384.8989,833.3333333333333,0.0,2700.0
134,568.8260499999999,0.0,0.0,2700.0
135,1396.98855,833.3333333333333,0.0,3450.0
136,1397.7598666666665,833.3333333333333,0.0,4200.0
137,566.7474333333332,0.0,0.0,4200.0
138,1399.8737666666666,833.3333333333333,0.0,4950.0
139,567.83015,0.0,0.0,4950.0
140,569.3586333333333,0.0,0.0,4950.0
141,1403.6635166666665,833.3333333333333,0.0,5700.0
142,904.9487166666665,333.3333333333333,0.0,6000.0
143,573.1768333333333,0.0,0.0,6000.0
144,574.1209833333332,0.0,0.0,6000.0
